name,TGID,POVR,PAGE,PYRP,length
Dave Krieg,28,85,27,6,2
Jacob Green,28,89,29,6,6
Randy Edwards,28,79,25,2,1
Jon Borchardt,28,78,29,7,4
Gerald Williams,29,78,23,0,4
Keith Butler,28,82,30,8,4
Sam Merriman,28,76,25,3,2
Mike Wilson,28,85,31,8,1
Gary Zimmerman,31,86,25,0,3
Eddie Anderson,28,75,23,0,4
Charles Jackson,28,73,29,7,2
Gordon Hudson,28,76,24,0,3
Jim Laughton,28,62,26,0,3
Ray Butler,28,78,30,6,1
Paul Skansi,28,74,26,3,2
Byron Walker,28,71,26,4,1
Norm Johnson,28,93,26,4,7
Alonzo Mitz,28,76,23,0,3
Bob Cryder,28,77,30,8,1
Bruce Scholtz,28,76,28,4,3
Michael Jackson,28,82,30,7,1
Curt Singer,28,73,24,0,4
Kani Kauahi,28,75,27,4,1
John Kaiser,28,72,24,2,1
Glenn Cameron,28,69,33,12,1
Vince Gamache,28,75,23,0,3
Gale Gilbert,28,69,25,1,3
Sean Salisbury,28,74,23,0,4
Louis Lipps,29,84,24,2,2
John Stallworth,29,83,34,12,1
Weegie Thompson,29,74,25,2,2
Calvin Sweeney,29,76,31,6,1
Jessie Britt,29,65,23,0,4
Ray Pinney,29,85,32,10,1
Randy Rasmussen,29,75,26,2,2
Garry Dunn,29,85,33,10,3
John Goodman,29,68,27,5,1
Steve Morse,29,66,23,1,3
Lupe Sanchez,29,72,24,0,4
Frank Pokorny,29,66,23,1,2
Butch Johnson,32,80,32,10,1
Bill Callahan,29,66,22,0,3
Frank Pollard,29,76,29,6,1
Rich Erenberg,29,70,24,2,1
Harry Newsome,29,89,23,1,4
Mark Malone,29,81,27,6,1
Alfred Anderson,31,84,25,2,1
Scott Campbell,29,72,24,2,2
Bubby Brister,29,77,24,0,4
Keith Gary,29,81,27,3,1
Ed Nelson,29,77,26,4,4
John Jefferson,32,82,30,9,2
John Rienstra,29,77,23,0,4
Bryan Hinkle,29,90,27,4,1
Gregg Carr,29,73,24,1,3
Tunch Ilkin,29,90,28,6,4
David Little,29,86,27,5,4
Donnie Shell,29,87,34,12,3
Dave Edwards,29,70,24,1,3
Warren Seitz,29,65,24,0,3
Bennie Cunningham,29,77,31,11,3
Gary Anderson,29,90,28,4,1
Darryl Sims,29,74,25,1,3
Rob Fada,32,73,25,3,1
Mike Merriweather,29,87,25,4,2
Dennis Winston,29,79,31,9,2
Anthony Henton,29,70,23,0,4
Mark Behning,29,70,25,0,4
Jim Kovach,32,78,30,7,4
Bob Harris,32,74,25,3,2
Pete Rostosky,29,71,25,2,2
Robin Cole,29,77,31,9,1
Fred Small,29,67,23,2,2
Jeff Kiewel,32,78,25,3,3
Earl Campbell,32,78,31,8,1
Mike Barber,32,73,33,10,1
Matt Herkenhoff,32,78,35,10,2
Ed White,32,79,39,17,1
Taylor Brock,32,74,24,2,2
Jared Dodson,32,72,26,4,2
Randy Love,32,76,29,7,3
Greg Williamson,32,75,27,4,1
Roger Carrier,32,79,28,6,3
Tony Mumford,32,72,23,1,3
Quentin Walker,32,75,25,2,1
Mike Bell,32,78,29,7,1
Fred Dean,32,78,34,11,1
Chuck Thomas,32,70,25,1,3
Bruce Matthews,30,85,25,3,1
Stuart Anderson,32,75,26,4,1
Jim Collins,32,79,28,5,1
Scott Bergold,32,68,24,1,3
Lee Nelson,32,79,32,10,1
Oliver Murphy,32,73,26,4,1
John Sawyer,32,77,33,11,1
James Wright,32,72,30,7,1
Herkie Walls,32,72,25,3,1
George Shorthose,32,73,24,1,3
Frank Mackey,32,74,29,7,1
Jess Atkinson,32,81,24,1,3
Tony Simmons,32,72,23,1,3
Doug Williams,30,80,23,0,4
Vince Osby,32,72,25,2,1
Jeff Jackson,32,77,24,2,1
John Thomas,32,70,25,3,1
Raven Butler,32,78,33,11,2
Al Richardson,32,79,28,6,3
Derrick Simpson,32,73,25,3,1
John Misko,32,80,31,4,2
David Woodley,32,80,27,6,2
Joe Dufek,32,73,25,4,3
Hugh Millen,32,77,30,0,4
William Fuller,30,81,24,0,5
Lynn Madsen,30,71,26,0,3
Larry Moriarty,30,80,28,3,4
Jeff Donaldson,30,82,24,2,2
Bo Eason,30,75,25,2,2
Alan Pinkett,30,74,22,0,4
Butch Woolfolk,30,74,26,4,1
Ray Childress,30,83,23,1,3
Malcolm Taylor,30,72,26,2,1
Percy Chapman,30,68,25,3,1
Terry Tausch,31,80,27,4,1
John Grimsley,30,84,24,2,3
Robert Abraham,30,80,26,4,2
Dean Steinkuhler,30,80,25,1,3
Richard Johnson,30,78,23,1,1
Larry Griffin,30,76,23,0,3
Chris Dressel,30,76,25,3,1
Jeff Parks,30,65,21,0,4
Tim Smith,30,77,29,6,1
Willie Drewery,30,72,23,1,1
Mike Akiu,30,69,24,1,1
Steve Tasker,30,72,24,1,3
Tony Zendejas,30,85,26,1,5
Jesse Baker,30,76,29,7,1
Robert Lyles,30,82,25,2,2
Avon Riley,30,75,28,5,1
Harvey Salem,30,78,25,3,2
Don Maggs,30,78,24,0,4
Eric Fairs,30,72,22,0,3
Kirk Dodge,30,73,24,1,3
Lee Johnson,30,86,24,1,4
Warren Moon,30,84,29,7,3
Oliver Luck,30,75,26,3,1
Jim Everett,30,80,22,0,3
Neal Guggemos,31,71,22,0,4
David Evans,31,71,27,1,1
Kyle Morrell,31,69,22,0,4
Joe Phillips,31,79,23,0,4
Anthony Carter,31,86,26,1,3
Leo Lewis,31,79,30,5,1
Hassan Jones,31,77,22,0,3
Buster Rhymes,31,70,24,1,3
Jim Hough,31,82,30,8,4
Darrin Nelson,31,85,26,2,1
Tim Newton,31,74,23,1,3
Mike Stensrud,31,76,30,7,1
Wayne Wilson,31,82,27,4,3
Mike Lush,31,70,28,0,4
Ted Rosnagle,31,69,24,1,1
Ted Brown,31,78,29,7,4
Allen Rice,31,73,24,3,2
Tommy Kramer,31,86,31,9,4
Wade Wilson,31,78,29,5,5
Steve Bono,31,72,24,1,2
Doug Martin,31,83,25,3,1
Mark Mullaney,31,77,33,11,1
Dave Huffman,31,74,29,7,1
Tommy Sims,21,71,21,0,4
David Howard,31,82,24,1,3
Dennis Fowlkes,31,68,25,3,1
Tim Irwin,31,83,28,5,4
Joey Browner,31,89,26,3,3
Willie Teal,31,75,28,6,2
Mike Mularkey,31,76,24,3,1
Carl Hilton,31,68,22,0,2
Jim Gustafson,31,70,25,0,4
Chuck Nelson,31,82,27,4,1
Neil Elshire,31,71,28,5,1
Scott Studwell,31,84,32,9,3
Brent Boyd,31,76,29,5,1
Chris Martin,31,83,29,6,3
Jesse Solomon,31,79,22,0,4
Curtis Rouse,31,74,26,4,3
Mark MacDonald,31,70,25,1,2
Walker Lee Ashley,31,78,26,2,2
Matt Blair,31,72,35,11,1
Greg Coleman,31,86,32,9,2
Kenny Jackson,13,80,24,2,2
Gregg Garrity,13,73,25,3,2
Mike Quick,13,87,27,4,1
Gary Reasons,16,82,24,2,1
Ron Holmes,6,80,23,1,2
Anthony Batiste,21,69,27,1,2
Andre Townsend,4,81,23,2,2
